TransactionID,AccountID,TransactionAmount,TransactionType,AccountBalance,HourOfTransaction,Longitude,Latitude,FraudulentTransaction
1,4174,3157.544396661377,Withdrawal,4764.166061469849,1,93.17918485275709,54.08635752531032,0
2,4507,2283.6912517049886,Transfer,2418.1913270065033,20,82.9142700173793,-42.70240905683691,0
3,1860,2415.266525486893,Transfer,9892.584115600059,13,122.1151732664008,-14.942996613205366,0
4,2294,3791.3050362720383,Withdrawal,2679.013847676296,17,155.85473062088317,-8.608021014509106,0
5,2130,1416.7725944302856,Withdrawal,4220.989769208729,12,-69.02599719503098,-20.090989408972405,0
6,2095,1597.0176623556542,Transfer,6843.176618110601,11,129.4541843654086,-34.04455508595285,0
7,4772,4623.962537731897,Transfer,8772.574929542683,14,59.764244859427095,45.49460387064258,0
8,4092,290.5592313063515,Withdrawal,609.6092722646517,20,164.7973526010478,-87.799636182328,0
9,2638,2433.3151490825685,Transfer,3080.094792668502,14,-82.05330383157028,-37.16203880542125,0
10,3169,4564.87599403523,Transfer,5732.959894848158,22,-82.9182594097708,-64.50889374487735,0
11,1466,3055.7114090126033,Withdrawal,6221.299505624216,22,73.54564152938161,-66.8215231380095,0
12,2238,2736.571300318539,Withdrawal,793.271641148622,0,154.2278786537795,-40.14743995845385,0
13,1330,1256.2234543544826,Deposit,6674.379504636526,21,116.84009692311645,47.18755640070873,0
14,2482,1722.9446904315969,Withdrawal,5327.837219524886,6,81.73424080560824,84.49593643411805,0
15,3135,4261.7215948654175,Withdrawal,8293.51105568523,12,-40.568688699340214,2.631323977397784,0
16,4444,2800.498477524606,Withdrawal,2299.6728444621767,17,78.3962404927106,-28.985072836154785,0
17,4171,2578.5635468463315,Deposit,2030.7671517165734,0,108.39440751509318,59.25068393599565,0
18,3919,506.90277056474434,Transfer,7954.038497086762,10,91.18284472461755,-77.9213834517151,0
19,4735,89.98050071106438,Withdrawal,7068.304376502201,12,63.65188738300429,-73.22977046177492,0
20,1130,4818.789091548375,Withdrawal,7937.566269718979,19,-163.03274939134693,-27.834063345131995,0
21,2685,1891.1609747613397,Deposit,7841.147996177987,8,57.49737592133113,-9.28647009515683,0
22,4380,3020.0331798765264,Deposit,1129.6066907215609,15,-7.81392402615225,53.610816470647336,0
23,1769,407.7782152045521,Deposit,2857.972168261593,10,166.16493775788678,76.54750908044213,0
24,3391,3418.7402857580023,Transfer,2674.8428477508187,2,38.58835801574557,5.629776298521094,0
25,2515,4663.507876442745,Deposit,9352.414086026713,16,38.961812244707744,-0.7839594771705265,0
26,4485,2882.569612457124,Transfer,4925.919083098421,1,177.85986745310993,-51.65801656577385,0
27,3853,639.3154586532987,Withdrawal,1199.465613730172,8,-146.30839567887404,-8.787322134003006,0
28,3433,2912.790422092649,Withdrawal,2966.8212687071855,8,-80.52613736387296,76.25596162932814,0
29,2215,3834.0725933922154,Withdrawal,8731.826320313068,15,56.18859802884924,-19.278083470793135,0
30,1955,2038.0185175043532,Deposit,8485.957143836602,0,-66.51494782762512,-52.07715219582676,0
31,3324,4400.390362227925,Withdrawal,9013.36088606132,16,-55.38594674551611,-29.286894743074242,0
32,2184,3246.9279372532487,Deposit,3946.4348500964984,9,141.35217832695906,2.6270302743312186,0
33,1459,4497.252102263121,Transfer,6449.275518750966,19,28.567405814326747,17.745305507922765,1
34,4385,3121.291503124213,Withdrawal,2853.921806765705,4,-142.96839019050435,-12.162621664769546,0
35,1021,665.1269803040728,Transfer,1890.1707784085013,7,-68.08946913625614,46.53651231725445,0
36,3300,1555.3616384148936,Deposit,316.82065167104236,12,-152.6189844602095,15.201608779207206,0
37,1747,1016.95679177976,Deposit,2312.06540192456,20,20.206776040972272,29.708664122103713,0
38,3904,4545.044223607143,Withdrawal,6083.303955233502,4,-117.62344930464371,65.32540643002147,0
39,4632,3804.3963357645384,Withdrawal,9051.682104707248,3,128.56145400903824,65.82394264907751,0
40,1474,3385.2278608609304,Deposit,1420.8634768328736,7,27.83304952433994,-53.368503785622345,0
41,2082,1511.8219349617923,Withdrawal,9188.314453557876,22,-158.6247689048059,22.202054069876965,0
